,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
власфимляти,,βλασφημέω,глаг.,власвимляти,,,,,хулить,,"Срз. I, 274","Стболг. I, 173","Четвероев. 
",,1144 г.,,"власвимляеши ((Ин. X, 36) Четвероев. 1144 г.; Ев. Холм. д. 1300 г. (В.)) Срз. I, 274",,,,власвимляти см. власфимляти
воидъ,,βοίδη,м.,,,,,,,lychnis viscaria,"ФГcэ, III, 45",,,,,,,,,,
воликъ,,βολίκι(ον),м.,,,,,,,navigium graecum,"ФГcэ, III, 45",,,,,,,,,,
волоня,,φαιλόνης:φαιλόλης,ж.,волоха,"волонька, волошка (ФГcэ, III, 212)",,,,,,"ФГcэ, III, 212",,,,,,,,,,
вравия,,βραβεῖον,ж.,вравие (??? одно ли и то же?),,,,,,praemium,"ФГcэ, III, 45; Срз. I, 310; СлРЯ, 3, 92",,,,,,,,,,
враканье,,,ср.,,,,,,,,"СлРЯ, 3, 99",,,,,,,,,,
вракати,,,глаг.,,,,,,,,"СлРЯ, 3, 99",,,,,,,,,,
враки,,βράκα,ж.,"ураки, овраки, jеврахи",,,,,,,"ФГcэ, III, 45; СлРЯ, 3, 99",,,,,,,,,,
враковато,,,нареч.,,,,,,,,"СлРЯ, 3, 99",,,,,,,,,,
врета,,,,,вретасъ,,да,,"деревянный идол, истукан",,"СДРЯ, 1, 497",,"Хрон. Г. Амарт., (ГА XIII-XIV 248 б-в)",,XI в.,,"кумир с нбс҃е Дыемь посланъ бы(с) и слѣтѣ… и Диопетесъ его и нб(с)ное Вретасъ именоваху. Врета же за ню чл҃вковѣдомы. еже не тако бѣ яже о кумирѣхъ прелестьная и суетьная слава (βρέτας). Хрон. Г. Амарт., (ГА XIII-XIV, 248 б-в) ",,,,
вретасъ,,,,,врета,,да,,"деревянный идол, истукан",,"СДРЯ, 1, 497",,"Хрон. Г. Амарт., (ГА XIII-XIV 248 б-в)",,XI в.,XIII-XIV вв.,"кумир с нбс҃е Дыемь посланъ бы(с) и слѣтѣ… и Диопетесъ его и нб(с)ное Вретасъ именоваху. Врета же за ню чл҃вковѣдомы. еже не тако бѣ яже о кумирѣхъ прелестьная и суетьная слава (βρέτας). Хрон. Г. Амарт., (ГА XIII-XIV, 248 б-в) ",,,,
врумалии,,βρουμάλια,мн.,"брумалии, въромалии",,от лат. brumalia,,"да
",название римского праздника,,"СДРЯ, 1, 499 ; Срз. I, 316",,"Хрон.Г.Амарт., (Георг.Амарт., 23 об.); КР 1284, 156 б, 156 в; МПр XIV, 347 об. ",,XI в.,XIII-XIV вв.,"Въромалии рекше имениньскыи пиръ. Хрон. Г.Амарт., (Георг.Амарт., 23 об.)",Названия праздников,в Хрон.Г.Амарт. - славянская глосса: имениньскыи пиръ ,,брумалии
врухъ,,βροῦχος,м.,,,,,,,locusta,"ФГcэ, III, 45",,,,,,,,,,
вурганиць,,ἄργανον,глаг.,,,,,,,,"ФГcэ, III, 136",,,,,,,,,,
вусинный,βύσσος,,прил.,вусиньнъ,,,да,,сделанный из виссона (тонкого льняного полотна),,"СлРЯ, 3, 168",,,,,,,,,,
вусъ,,,,,,,,,,,,,,,,,,,,,
выдекывать,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
выдзекаць,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
газа,,γάζα,ж.,,,,да,,сокровище,theaurus,"ФГcэ, III, 45; СлРЯ, 4, 7",,да,,XVI в.,,"Иж<е> бѣ  надо всею газою. (Апост. толк.) Оп. II (1), 180.",,,,
газофилакия,,γαζοφυλάκιον,ж.,"газофулакия, газофюлакия, газфулкакия",,,,,сокровищница,aerarium,"ФГcэ, III, 45; Срз. I, 508; СлРЯ, 4, 7","Стболг. I, 333-334",да,да,,1144 г.,"Газофюлакия (въ испр. сокровищное хранилище). Мр. XII, 41. Четвероев., 99 (Срз. I, 508); Флавий. Полон.Иерус. II, 170. XVI в. ~ XI в. ",богослужебные постройки и их части,,,
гаитанъ,,γαιετανόν,м.,"гайтанъ, гойтянъ, ганьтанъ, гантай, гавитанъ, готянъ",,,,,,funis,"ФГcэ, III, 45",,,,,,,,,,
галенокъ,,,м.,,"галенка (СлРЯ, 4, 8)",,,,,,"СлРЯ, 4, 8",,,,,,,,,,
галина,,γαλήνα<γαλήνη,ж.,,,,,,,serenitas,"ФГcэ, III, 46; СлРЯ, 4, 9",,,,,,,,,,
галинный,,,прил.,,,,,,,,"СлРЯ, 4, 9",,,,,,,,,,
галинъ,,,м.,,,,,,,,"СлРЯ, 4, 9",,,,,,,,,,
галия,,γαλέα,ж.,,,,,,,navigium,"ФГcэ, III, 46",,,,,,,,,,
галыдъ,,ἀγελάδα,м.,,"явдыдокъ (ФГcэ, III, 225)",,,,,,"ФГcэ, III, 225",,,,,,,,,,
галыстить,,ἅλας:ἅλς,глаг.,,,,,,,,"ФГcэ, III, 225",,,,,,,,,,
гальё,,γάλα,ср.,"гальмо, гальмина, галимо, гальмо, гальмъ, галемо",,,,,,lac,"ФГcэ, III, 46",,,,,,,,,,
гангрена,,γάγγραινα,ж.,"гаггрена, гагрена",,,,,"гангрена, разъедающая язва, гнойное заболевание",,"СлРЯ, 4, 10","Стболг. I, 335",да,да,,XI в.,Панд.Ант.,названия болезней,,,
гангулики,,γαγγλίον,,,,,,,,,"ФГcэ, III, 46",,,,,,,,,,
гаргара,,γαργάρα,ж.,,,,,,,,"ФГcэ, III, 47",,,,,,,,,,
гаросъ,,γάρος,м.,,,,,,,"liquamen piscium, sale conditorum","ФГcэ, III, 47; Срз. I, 510",,,,,,,,,,
гдуля,,κυδώνιον,ж.,дуля,,,,,,pyrus,"ФГcэ, III, 47",,,,,,,,,,
гдуня,,κυδώνιον,ж.,къдоуниꙗ,,,,,,cydonium,"ФГcэ, III, 47; Срз. I, 512; СлРЯ, 4, 16",,,,,,,,,,
геена,,γέεννα,ж.,геона,,от арам. Gēhannā,,да,,,"СлРЯ, 4, 17",,,,,,,,,,
геенский,γέεννα,,прил.,,,,,,,,"СлРЯ, 4, 17",,,,,,,,,,
гемонъ,,,м.,,,,,,,,"СлРЯ, 4, 17",,,,,,,,,,
генваревъ,,,прил.,,,,,,,,"СлРЯ, 4, 17",,,,,,,,,,
генварий,,,м.,,,,,,,,"СлРЯ, 4, 17",,,,,,,,,,
генуарий,,γενουάριος,м.,генварь,,,,,,,"ФГcэ, III, 47; СлРЯ, 4, 18",,,,,,,,,,
геона,,γέεννα,ж.,геена,,от арам. Gēhannā,,да,"геенна, ад",gehenna,"ФГcэ, III, 47; СлРЯ, 4, 18","Стболг. I, 337",да,да,,1057 г.,"убоите же ся паче могущааго дш҃у и тѣло погубити въ геонѣ (ἐν γεέννῃ). (Мф. X, 28) Остр. ев., 234.",религия,,,
геонский,γέεννα,,прил.,геоньскъ,,,,,относящийся к геенне,,"СлРЯ, 4, 17","Стболг. I, 337",,,,,,,,,
гиероглификъ,,,,,,,,,,,,,,,,,,,,,
герань,,γεράνι<γεράνιον<γέρανος,ж.,ерань,,,,,,geranium,"ФГcэ, III, 47",,,,,,,,,,
гигантский,,,прил.,,,,,,,,"СлРЯ, 4, 21",,,,,,,,,,
гигантъ,,γίγας,м.,гиганътъ,"гигасъ (ФГcэ, III, 48)",,,,,gigas,"ФГcэ, III, 48; СлРЯ, 4, 20",,,,,,,,,,
гинекей,,γυναικεῖον,м.,,,,,,,,"ФГcэ, III, 48",,,,,,,,,,
гипсъ,,γύψος,м.,"гипсоусъ, гипсусъ",,,,,,gypsus,"ФГcэ, III, 48; СлРЯ, 4, 21",,,,,,,,,,
гипъ,,γύψος,м.,гипь,,,,,,avis genus,"ФГcэ, III, 48",,,,,,,,,,
гирка,,γραικός,ж.,,,,,,,,"ФГcэ, III, 51",,,,,,,,,,
гистерна,,γιστέρνα,ж.,"истерна, систерна, стерна",,от лат. cisterna,,да,водохранилище,cisterna,"ФГcэ, III, 48; СлРЯ, 4, 21","Стболг. I, 338",,,,,,"сооружения, постройки",,,
глинъ,,γλίνος<βλίνος,,"линъ, линь, лень",,,,,,cyprinus tinca,"ФГcэ, III, 48",,,,,,,,,,
глипать,,γλέπω<βλέπω,глаг.,влипати,"влипати (ФГcэ, III, 48)",,,,,,"ФГcэ, III, 48",,,,,,,,,,
глоса,,γλῶσσα,ж.,,,,,,,platessa luscus,"ФГcэ, III, 48",,,,,,,,,,
гнафеи,,γναφέας<γναφεύς,м.,,,,,,,,"ФГcэ, III, 49","Стболг. I, 348",да,,,1307 г.,"Ев. (ФГcэ, III, 49)",,,,
гогулия,,γογγύλιον<γογγύλη,ж.,,,,,,,vas,"ФГcэ, III, 49; Срз. I, 534",,,,,,,,,,
гоитъ,,"γόης,pl.γόητες",м.,,,,,,,incantator,"ФГcэ, III, 49; Срз. I, 541; СлРЯ, 4, 59",,,,,,,,,,
Голгофа,,Γολγοθᾶ,,,,"от арам. gulgalta, евр. gulgōlet",,да,,,"СлРЯ, 4, 60","Стболг. I, 354",да,да,,1057 г.,"пришьдъше на мѣсто нарицаемое Галъгофа, еже есть нарицаемое краниево мѣсто (εἰς τόπον λεγόμενον Γολγοθᾶ, ὅ(ς) ἐστι λεγόμενος κρανίου τόπος). (Мф. XXVII, 33) Остр. ев., 199.",,в греческом тексте находится толкование еврейского названия,,
гомба,,κόμβος,ж.,,,,,,,,"ФГcэ, III, 49; СлРЯ, 4, 72",,,,,,,,,,
гонатъ,,γόνατον:γόνυ,м.,,,,,,,genu,"ФГcэ, III, 49; Срз. I, 548",,,,,,,,,,
граматикия,,γραμματική,ж.,грамотикия,,,,,,grammatica,"ФГcэ, III, 49-50; Срз. I, 578; СлРЯ, 4, 118",,,,,,,,,,
грамматика,,γραμματική,ж.,,,,,,,,"СлРЯ, 4, 118",,,,,,,,,,
грамматикъ,,γραμματικός,м.,грамотикъ,"грамматикар (ФГcэ, III, 49)",,,,,grammaticus,"ФГcэ, III, 49; СлРЯ, 4, 118",,,,,,,,,,
грамматический,,,прил.,грамотический,,,,,,,"СлРЯ, 4, 119",,,,,,,,,,
грамматичникъ,,,м.,,,,,,,,"СлРЯ, 4, 119",,,,,,,,,,
грамматичный,,,прил.,грамотичный,,,,,,,"СлРЯ, 4, 119",,,,,,,,,,
грамота,,γράμματα,ж.,,,,,,,"epistula, diploma, scientia","ФГcэ, III, 49; Срз. I, 548; СлРЯ, 4, 119",,,,,,,,,,
грамотей,,γραμματέας:γραμματεύς,м.,,,,,,,"doctus, scriba","ФГcэ, III, 50; СлРЯ, 4, 119; СлРЯ, 4, 120",,,,,,,,,,
грамотица,γράμματα,,ж.,,,,,,,,"СлРЯ, 4, 120",,,,,,,,,,
грамотка,γράμματα,,ж.,,,,,,,,"ФГcэ, III, 50",,,,,,,,,,
грамотник,,,м.,,,,,,,,"СлРЯ, 4, 121",,,,,,,,,,
грамотолюбец,γράμματα,,м.,,,,,,,,"СлРЯ, 4, 121",,,,,,,,,,
грамотоносец,γράμματα,,м.,,,,,,,,"СлРЯ, 4, 121",,,,,,,,,,
грамоточка,,,м.,,,,,,,,"СлРЯ, 4, 121",,,,,,,,,,
грамоточникъ,,,м.,,,,,,,,"СлРЯ, 4, 121",,,,,,,,,,
грамоть,,γράμματα,ж.,,,,,,,,"ФГcэ, III, 50",,,,,,,,,,
графия,,γραφεῖον,ж.,,,,,,,scriptura,"ФГcэ, III, 50; СлРЯ, 4, 121",,,,,,,,,,
графья,,γραφεῖον,ж.,,,,,,,punctura,"ФГcэ, III, 50; Срз. I, 548",,,,,,,,,,
грецъ,,γραικός,,,,,,,,teufel,"ФГcэ, III, 50",,,,,,,,,,
гречески,,,нареч.,грьчьскы,,,,,,,,,,,,1057 г.,"Ии҃с Назареи, цр҃ь Иудеискъ … и бѣ написано [на кресте] евреискы, грьчьскы, латиньскы (Ἑβραϊστί, Ἑλληνιστί, ῾Ρωμαϊστί). (Ин. XIX, 20) Остр. ев., 220 об.",,"примечание А.Х. Востокова: (Словоуказатель) Остр.ев., 92: «Замѣчательно, что Словенскiй переводчикъ не держался рабски Греческаго текста, и не перевелъ ἑλληνιστί , еллиньскы, а Грьчьскы, ибо Словянамъ былъ известѣнъ народъ Эллинскiй подъ названiемъ Грековъ, ГРЬЦИ, такъ какъ Римлянамъ подъ названiемъ Graeci. Тоже можно замѣтить о словѣ ЛАТИНЬСКЫ, выражающемъ Греческое ρωμαϊστί. Словяне знали, что языкъ Римлянъ былъ Латиньскый! Впрочемъ далее встрѣчается также ЕЛИНЬСКАМИ, РИМЬСКАМИ …» .",,
гречинникъ,,,м.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречиха,,γραικός,ж.,гречуха,"греча (ФГcэ, III, 50; СлРЯ, 4, 132)",,,,,fagopyrum esculentum,"ФГcэ, III, 50; СлРЯ, 4, 132",,,,,,,,,,
гречиха,,γραικός,,,"гречье (ФГcэ, III, 50)",,,,,,,,,,,,,,,,
гречишникъ,,,м.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречишный,,,м.,гречешный,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречка,,,ж.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречневикъ,,,м.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречневникъ,,,м.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречневый,,,прил.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречникъ,,,м.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречный,,,прил.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречушник,,,прил.,,,,,,,,"СлРЯ, 4, 132",,,,,,,,,,
гречушный,,,прил.,,,,,,,,"СлРЯ, 4, 133",,,,,,,,,,
грькъ,,γραικός,м.,"грѣка, грька","гречиха (ФГcэ, III, 50)",,,,,graecus,"ФГcэ, III, 50",,,,,,,,,,
гусария,,,ж.,,,,,,,,"СлРЯ, 4, 160",,,,,,,,,,
гусарский,,,прил.,,,,,,,,"СлРЯ, 4, 161",,,,,,,,,,
гусаръ,,κουρσάριος,м.,"хоусаръ, гусарь",,,,,,,"ФГcэ, III, 222; СлРЯ, 4, 160",,,,,,,,,,
дазетать,,ζετῶ<ζητῶ,глаг.,,,,,,,,"ФГcэ, III, 63",,,,,,,,,,
дамаскино,,δαμάσκηνον,м.,,,,,,,prunum,"ФГcэ, III, 51",,,,,,,,,,
дамианъ,,Δαμιανός,м.,"Демьян, Демко","демьянка (ФГcэ, III, 51)",,,,,nomen proprium,"ФГcэ, III, 51",,,,,,,,,,
дарикъ,,δαρικός,м.,,,,,,,moneta,"ФГcэ, III, 51",,,,,,,,,,
даскалъ,,δάσκαλος<διδάσκαλος,м.,дасколъ,"дидаскаль (СлРЯ, 4, 245)",,,,,magister,"ФГcэ, III, 51; СлРЯ, 4, 175",,,,,,,,,,
дафинъ,,δάφινος:δάφνος:δάφνη,м.,"дафанъ, дяфинъ",,,,,,laurus,"ФГcэ, III, 51; СлРЯ, 4, 178",,,,,,,,,,
дафний,,,м.,"дафния, дафиния",,,,,,,"СлРЯ, 4, 178",,,,,,,,,,
дафнинный,,,прил.,,,,,,,,"СлРЯ, 4, 178",,,,,,,,,,
деисусный,,,прил.,,,,,,,,"СлРЯ, 4, 202",,,,,,,,,,
деисусъ,,δέησις,м.,iисоусъ,,,,,,,"ФГcэ, III, 51; СлРЯ, 4, 201",,,,,,,,,,
декабрь,,"δεκέμβριος, δεκέμβρις",м.,"декябрь, демкабрь",,от лат. decembrius,,,декабрь (название месяца),december,"ФГcэ, III, 52; СлРЯ, 4, 203","Стболг. I, 396",да,да,,1057 г.,"Мц҃ѣ декябра страст҃ыя мч҃ця Варвары. (Запись) Остр. ев., 243. Мс҃цѣ декябра страс<ть> … Мансура презвутера.  (Запись) Остр.ев., 243.",,,,
декаврий,,,м.,декамврий,,,,,,,"СлРЯ, 4, 203",,,,,,,,,,
деканпенда,,δεκαπέντε,числ.,,,,,,,числ.,"ФГcэ, III, 52",,,,,,,,,,
деканъ,,δέκα,числ.,"дзеканъ, декунъ",,,,,,numer. 10,"ФГcэ, III, 52",,,,,,,,,,
дельфинъ,,,м.,дельфина,,,,,,,"СлРЯ, 4, 211",,,,,,,,,,
дельфисъ,,δελφίς,м.,,,,,,,delphinus,"ФГcэ, III, 52; СлРЯ, 4, 211",,,,,,,,,,
демен,,τιμόνι,м.,,,,,,,,"ФГcэ, III, 52",,,,,,,,,,
деменити,,τιμόνι,глаг.,,,,,,,,"ФГcэ, III, 52",,,,,,,,,,
демено,,τιμόνι,ср.,,"деменити (ФГcэ, III, 52)",,,,,gubernaculum,"ФГcэ, III, 52",,,,,,,,,,
демоний,,,прил.,,,,,,,,"СлРЯ, 4, 212",,,,,,,,,,
демоночтецъ,,,м.,,,,,,,,"СлРЯ, 4, 212",,,,,,,,,,
демонский,,,прил.,,,,,,,,"СлРЯ, 4, 213",,,,,,,,,,
демонство,,,с.,,,,,,,,"СлРЯ, 4, 213",,,,,,,,,,
демонствующий,,,прил.,,,,,,,,"СлРЯ, 4, 213",,,,,,,,,,
демонъ,,δαίμων,м.,дѣмонъ,,,,,,daemon,"ФГcэ, III, 52; СлРЯ, 4, 212",,,,,,,,,,
демьянка,,Δαμιανός,ж.,,,,,,,solanum melongena,"ФГcэ, III, 51",,,,,,,,,,
депериться,,ἐπαίρω>παίρω,глаг.,,,,,,,,"ФГcэ, III, 68",,,,,,,,,,
дерга,,τσέργα,ж.,джерга,,,,,,,"ФГcэ, III, 52-53",,,,,,,,,,
деспотский,,,прил.,,,,,,,,"СлРЯ, 4, 232",,,,,,,,,,
деспотъ,,δεσπότης,м.,"деоспот, деспота",,,,,,tyrannus,"ФГcэ, III, 52; СлРЯ, 4, 232",,,,,,,,,,
дефеньсоръ,,δεφένσωρ,м.,,,,,,,defensor,"ФГcэ, III, 52; Срз. I, 661",,,,,,,,,,
дефтерь,,διφθέρα,ж.,,,,,,,tabula scriptoria,"ФГcэ, III, 52; Срз. I, 661; СлРЯ, 4, 240",,,,,,,,,,
дечить,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
дзема,,ζεῦμα,ж.,,,,,,,,"ФГcэ, III, 53",,,,,,,,,,
диаволий,διάβολος,,прил.,"диаволь, дияволь",,,,,относящийся к дьяволу,,"СлРЯ, 4, 397-398","Стболг. I, 403-404",,,,,,"религия, богослужение, богословие",,,дьяволий
диаволъ,,διάβολος,м.,"дияволъ, дьяволъ",,,,,"дьявол, сатана",diabolus,"ФГcэ, III, 53; СлРЯ, 4, 242 (дьяволъ)","Стболг. I, 403",да,да,,1057 г.,"Потомь же придеть дияволъ и възьметь слово отъ ср҃дца ихъ (ὁ διάβολος). (Лк. VIII, 12)   Остр. ев., 95.","религия, богослужение, богословие",,,дьяволъ
диадима,,διάδημα,ж.,диядима,,,,,,diadema,"ФГcэ, III, 53; СлРЯ, 4, 242",,,,,,,,,,
диаконъ,,"διάκων, διάκονος",м.,дияконъ,,,,,,,,,,,,,,,,,
диакъ,,"διάκων, διάκονος",м.,"диякъ, дьакъ, дьякъ",,,,,дьяк,diaconus,"ФГcэ, III, 53; СлРЯ, 4, 398 (дьякъ)",,да,да,,1073 г.,"Написа Иоаннъ диакъ Изборьникъ сь великууму князю Ст̃ославу. (Запись) Изб.Св. 1073 г., л. 263 об.",названия богослужебных должностей,,,"диакъ, дьякъ"
диалектика,,,ж.,,,,,,,,"СлРЯ, 4, 243",,,,,,,,,,
диалектикъ,,,м.,,,,,,,,"СлРЯ, 4, 242",,,,,,,,,,
диалектический,,,прил.,,,,,,,,"СлРЯ, 4, 243",,,,,,,,,,
диалектъ,,διάλεκτος,м.,,,,,,,dialectus,"ФГcэ, III, 53; СлРЯ, 4, 242",,,,,,,,,,
диафрагма,,διάφραγμα,ж.,дифразма,,,,,,diafragma in oculari instrum. astronomici,"ФГcэ, III, 54",,,,,,,,,,
дидаскальство,,,ср.,,,,,,,,"СлРЯ, 4, 245",,,,,,,,,,
дидельфъ,,δίδελφυς,м.,,,,,,,didelphys dorsigera,"ФГcэ, III, 54",,,,,,,,,,
дидрагма,,"δίδραγμον, δίδραχμον",ж.,дидрагъма,,,,,серебряная греческая монета и денежная сумма в две драхмы (в Евангелиях: дань на храм),moneta,"ФГcэ, III, 54","Стболг. I, 401",да,,,1057 г.,"Приступишя приемлющеи дидрагма къ Петрови (τὰ δίδραχμα). (Мф. XVII, 24) Остр.ев., 72.","денежные единицы, денежная дань",,в Евангелии: дань на храм,
дикела,,δίκελλα,ж.,,,,,,,ligo,"ФГcэ, III, 54; Срз. I, 665",,,,,,,,,,
дикирии,,δικήριον,м.,,,,,,,lucerna,"ФГcэ, III, 54",,,,,,,,,,
дикнуть,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
диктамонъ,,δίκταμον,м.,,,,,,,plantae genus,"ФГcэ, III, 54",,,,,,,,,,
димитрии,,Δημήτριος,м.,"Дъмитръ, митро",,,,,,nomen proprium,"ФГcэ, III, 54",,,,,,,,,,
димотъ,,δημότης,м.,,,,,,,unus ex plebe,"ФГcэ, III, 54; Срз. I, 666",,,,,,,,,,
динарий,,δηνάριον,м.,динарии,динарь,от лат. denarius,,да,серебряная римская монета; мелочь,denarius,"ФГcэ, III, 54; СлРЯ, 4, 246","Стболг. I, 401 (динарии, динарионъ)",да,да,,1057 г.,"дъва длъжника бѣста … единъ длъжьнъ бѣ пятию сътъ динарии, а другы пятию десятъ (δηνάρια). (Лк. VII, 41) Остр. ев., 223.",денежные единицы,,"денарий (динарий) первоначально содержал 10, потом 16 ассов.",
динарь,,δηνάριον,м.,,динарии,от лат. denarius,,да,серебряная римская монета; мелочь,,"ФГcэ, III, 54; СлРЯ, 4, 246","Стболг. I, 401-402",,да,,XVII в.,"Алф.1, 65.",денежные единицы,,"денарий (динарий) первоначально содержал 10, потом 16 ассов.",
диптихъ,,δίπτυχον,м.,,,,,,"диптих, поминальник",diptychum,"ФГcэ, III, 54; Срз. I, 666; СлРЯ, 4, 246","Стболг. I, 403 (диптоуха)",,да,,1676 г.,"Д.патр.Никона, 309.","религия, богослужение, богословие",,,
дисагъ,,δισάκκι(ον),м.,дисакъ,,,,,,pera,"ФГcэ, III, 54; Срз. I, 666",,,,,,,,,,
дискосный,,,прил.,,,,,,,,"СлРЯ, 4, 247",,,,,,,,,,
дискъ,,δίσκος,м.,,"дискосъ (СлРЯ, 4, 247)",,,,,discus diaconi,"ФГcэ, III, 55",,,,,,,,,,
дифтера,,διφθέρα,ж.,диффера,,,,,,,"СлРЯ, 4, 247",,,,,,,,,,
дифтоггъ,,,м.,,диффонга,,,,,,,,,,,,,,,,
диффера,,διφθέρα,ж.,дифтера,,,,,,vestis genus,"ФГcэ, III, 55; Срз. I, 666; СлРЯ, 4, 247",,,,,,,,,,
диякониса,,διακόνισσα,ж.,,,,,,"дьяконисса, служительница раннехристианской церкви",,"Срз. I, 667; СДРЯ, II, 470","Стболг. I, 404",да,,,ΧΙΙ в.,"Помянухомъ же и дияконасы иже въ образѣ испытаны (διακονισσῶν). КЕ ΧΙΙ, 24б  (СДРЯ, II, 470)",названия богослужебных должностей,,,
дияконъ,,"διάκονος, διάκων",м.,"диаконъ, дьяконъ",,,,,дьякон,diaconus,"ФГcэ, III, 53; Срз. I, 667; СДРЯ, II, 470; СлРЯ, 4, 398","Стболг. I, 404",да,да,,1057 г.,"Азъ Григории диякон . написахъ еугглие е. (Запись) Остр. ев., 294 об.",названия богослужебных должностей,,Древней Руси название должностного лица,дьяконъ
диякъ,,"διάκονος, διάκων",м.,"диакъ, дьякъ",,,,,,,,"Стболг. I, 404",да,,,1073 г.,"Слышиши бо дияка гл̃шта: суштии въ покаянии изидѣте (τοῦ κήρυκος ).  Изб.Св. 1073 г., л. 52 об.",,,в ,"диакъ, дьякъ"
догма,,,ж.,,,,,,,,"СлРЯ, 4, 280",,,,,,,,,,
догматикъ,,,м.,,,,,,,,"СлРЯ, 4, 280",,,,,,,,,,
догматисати,,,глаг.,,,,,,,,"СлРЯ, 4, 280",,,,,,,,,,
догматство,,,ср.,,,,,,,,"СлРЯ, 4, 281",,,,,,,,,,
догматъ,,"δόγμα,pl.δογματα",м.,догъматъ,,,,,,dogma,"ФГcэ, III, 55",,,,,,,,,,
докматствовати,,,глаг.,,,,,,,,"СлРЯ, 4, 281",,,,,,,,,,
доматоръ,,*δωμάτωρ:δῶμα,м.,,,,,,,pater familias,"ФГcэ, III, 55",,,,,,,,,,
доместиков,,,прил.,,,,,,,,"СлРЯ, 4, 308",,,,,,,,,,
доместикъ,,δομέστικος,м.,,,,,,,domesticus,"ФГcэ, III, 55; СлРЯ, 4, 308",,,,,,,,,,
дора,,"δῶρον,pl.δῶρα",ж.,,,,,,,panis paschalis,"ФГcэ, III, 55; Срз. I, 706; СлРЯ, 4, 322",,,,,,,,,,
драгъма,,δράγμα,ж.,,,,,,,drachma,"ФГcэ, III, 56",,,,,,,,,,
драконка,,δράκοντον<δράκοντος<τραγάκανθος+δράκων,ж.,,,,,,,dracanea planta,"ФГcэ, III, 55",,,,,,,,,,
драконъ,,δράκων,м.,,"дрокъ (ФГcэ, III, 55)",,,,,draco,"ФГcэ, III, 55; Срз. I, 720; СлРЯ, 4, 350",,,,,,,,,,
драконъ,,δράκων,,,"драк (ФГcэ, III, 55)",,,,,,,,,,,,,,,,
другарь,,δρουγγάρις,м.,"другаль, другар",,,,,,,"ФГcэ, III, 56",,,,,,,,,,
другъ,,δροῦγγος,м.,друк,,,,,,,"ФГcэ, III, 56",,,,,,,,,,
дружокъ,,δροῦγγος,м.,,,,,,,,"ФГcэ, III, 56; СлРЯ, 4, 365",,,,,,,,,,
дука,,δούκας,м.,дукъ,,,,,,,"ФГcэ, III, 56; СлРЯ, 4, 372",,,,,,,,,,
дуковский,,,прил.,,,,,,,,"СлРЯ, 4, 373",,,,,,,,,,
дуксовъ,,,прил.,,,,,,,,"СлРЯ, 4, 373",,,,,,,,,,
дуксъ,,δοῦξ,м.,дукасъ,"дукар (ФГcэ, III, 56)",,,,,dux,"ФГcэ, III, 56; Срз. I, 742; СлРЯ, 4, 373",,,,,,,,,,
дукъ,,,м.,,,,,,,,"СлРЯ, 4, 372; СлРЯ, 4, 372",,,,,,,,,,
дурно,,δωρειανό,нар.,доурнъ,,,,,,"frusta, malus, gratis","ФГcэ, III, 56; СлРЯ, 4, 377",,,,,,,,,,
дюрь,,δύο,числ.,"здю, здюй",,,,,,numer.,"ФГcэ, III, 56-57",,,,,,,,,,
дякать,,δείκνω<δεικνύω<δείκνυμι,глаг.,дзикать,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
евангелие,,εὐαγγέλιον,ср.,"оангелье, воягелье, еваньелие, еуаггелие, еуангелие","ивандиль, явандиль (ФГcэ, III, 56=7)",,,,,evangelium,"ФГcэ, III, 57; СлРЯ, 5, 11",,,,,,,,,,
евангелийский,,,прил.,еуангелийский,,,,,,,"СлРЯ, 5, 11",,,,,,,,,,
евангеликъ,,,м.,,,,,,,,"СлРЯ, 5, 11",,,,,,,,,,
евангелистский,,,прил.,евангелитцкий,,,,,,,"СлРЯ, 5, 12",,,,,,,,,,
