,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
курфистровъ,,,прил.,,,,,,"Принадлежащий курфюрсту, находящийся в подчинении у курфюрста.",,"СлРЯ, 8, 142.",,,,1658 г.,,"Отпущенъ съ Москвы Бранденбурского курфистра посланникъ... а съ нимъ курфистровыхъ дворянъ и посланничьихъ людеи тринадцать человѣкъ. АИ IV, 257. 1658 г.",,,,
курфистский,,,прил.,,,,,,Относящийся к курфюрсту.,,"СлРЯ, 8, 142.",,,,1621 г.,,"И [ваша] курфистская мл҃сть нас дружебно и мл҃стиво принял. Куранты1, 53. 1621 г.
",,,,
лагры,,lagier III,мн.,,,,да,да,Подушки пушечных станков.,,"СлРЯ, 8, 159.",,,,1677 г.,,"Не велѣно на нихъ, колесныя слободы на колесныхъ мастерахъ, никакихъ податей имать опричь его государева закладного дѣла, пушечныхъ колесъ и станочныхъ досокъ, и лагры  и оси полъ пушки, и пыжи, и оглобли. ДАИ VII, 199. 1677 г. ",,,,
ланцуга,,łańcuch,ж.,,ланцугъ,,,да,Цепь.,,"СлРЯ, 8, 169.",,,,1566 г.,,"C 1570, D ||лянцуг RD II ||ланцух K3, SR И царь и великий князь Воина Ржевского... съ товарыщи къ посломъ отослати велѣлъ, и послы ихъ посажали на ланцугахъ въ великихъ крѣпостяхъ. Польск.д. III, 416. 1566 г.",,,,
ланцужокъ ,,,м.,,,,,,Уменьш. к ланцугъ. ,,"СлРЯ, 8, 169.",,,,1676 г.,,"Зегарь малый, въ сребрѣ оправленный, со ланцушкомъ сребренымъ же, цѣною двадесять рублевъ. (Оп.вещей Епифания Славинецкого) Мат.арх.сл. III, 25. 1676 г.",,,,
ластъ,,łaszt,,,,,,да,"1. Крупная емкостная единица, а также счетная и окладная единица товара (преимущественно в западноевропейской торговле), содержавшая определенное количество бочек или мешков товара. 2. Грузовая единица при измерении вместимости парусных судов. ",,"СлРЯ, 8, 177.",,,,1492 г.,,"В Филандрии рожь дорога по сту золотых ласт. Рим.имп.д., I, 100. 1492 г. Поднимают те корабли триста девяносто ластов, а ласт по двенадцати бочек. Англ.д., 224. 1586 г. ",,"В торговле зерном в XVIII в. – мера сыпучих тел, равная обычно 12 четвертям. Пис. Ласт имеет 12 четвертей. Арифм.Магниц., 36. 1703 г.","Романова: Весовое содержание ласта было неодинаковым для разных товаров, входящих в ласт. Судя по памятникам письменности, в ласт входило 12 бочек или 12 мешков товара. В «Торговой книге» к. XVI – н. XVII вв. ласт показан как мера в 72 пуда. В более позднее время в России ласт как мера емкости при нагрузке судов включал 16 четвертей зерновых, 20 кулей овса, 100 пудов муки, 60 пудов пеньки, льна, бумаги, 80 кусков тонкого полотна, 60 кусков парусного полотна и проч. Начиная с XVII в., происходит постепенная замена мер сыпучих тел и мер емкости мерами веса. К XIX в. ласт становится известным только узкому кругу специалистов как специальный коммерческий термин. В законе о весах и мерах 1908 г. ласт был приравнен к 12 четвертям емкостного счета или к 72 пудам при весовом измерении.",
лауданъ,,loden,м.,лудан,,,,да,Сорт шелковой ткани.,,"СлРЯ, 8, 180.",,,,1676 г.,,"Три камки китайские лаудану. А.Верхот.съезж.избы, карт. № 26. Тамож.досмотр 1676 г.",,,,
лауданный,,,прил.,луданный,,,,,Сделанный из лаудана - сорта шелковой ткани.,,"СлРЯ, 8, 180.",,,,1669 г.,,"Четверы штаны луданные, в том числе одни отласные. А.Верхот.съезж.избы, карт. № 37. 1669 г.",,,,
лѣйца,,lejc,мн.,,,,да,да,Двойные вожжи для дышловых лошадей. ,,"СлРЯ, 8, 200.",,,,1686 г.,,"Шестерикъ шоръ, обшитъ бархатомъ краснымъ... къ... муштукамъ перье огненое, къ нимъ же лѣйца отласныя красныя. Д.Шакловит. IV, 154. 1686 г.",,,,
литровати,,lutrować,глаг.,лютровати,,,нет,да,Подвергать очистке. ,,"СлРЯ, 8, 244.",,,,1670 г.,,"C 1670, 1713, D ||лютровать X 1621, C 17 w. Семь гривенокъ селитры литрованои. Арх.Толстого, № 55, сст. 7. 1670 г.",,,,
литрованье,,lutrowanie,c.,,,,,,Действие по глаг. литровати.,,"СлРЯ, 8, 244.",,,,1696 г.,,"А скол<ь>ко по литрованью из нелитрованои селитры вышло соли сору песку и о том в Пушкарскои приказ голова Афоначеи Грузинцов росписеи не подавывал. Арх.Гамеля, № 310. 1696 г.",,,,
литровка ,,,ж.,,,,,,Действие по глаг. литровати.,,"СлРЯ, 8, 244.",,,,1712 г.,,"А въ литровкѣ селитра эта стала ему по 3 руб. 6 алт. 4 денги пудъ. Докл.в Сенате II (1), 4. 1712 г.",,,,
лихтаръ,,lichtarz,м.,,лихтарь,,да,да,Подсвечник.,,"СлРЯ, 8, 251; СлРЯ, 9, 270.",,,,1649 г.,,"А въ скрынце было лихтарь масендцовый. А.юж.и зап. Рос. III, доп., 84. 1649 г. Лихтаров бол<ь>шых серебреных что на олтар<е> пар четыре. Смол.а.1, № 1, 37. 1668 г.",,,,
лотъ,,łut ||łót (19 w.),м.,,,,,да,"1. Мера веса, равная трем золотникам. 2. (?)",,"СлРЯ, 8, 287.",,,,XVII в.,1534 г.,"Пять лотов соли… а по-руски 15 золотников. Травник Любч., 410. XVII в. ~ 1534 г. Сабля, полоса булатъ красный, турская гладкая, на полосѣ на правои сторонѣ мишень, рѣзана безъ лота. Арх.бум.Петра I, 79. 1687 г.",,,"Романова: Лот в России составлял 1/32 часть фунта , он применялся до введения метрической системы мер, но в XIX в. уже довольно редко (при взвешивании жемчуга, семян цветов, духов и т. п.).",
лотокъ,,łata,м.,латокъ,,Фасмер: недостоверные этимологии,,да,,,,,,,,,,,,,
лоточникъ,,,,,,,,,,,,,,,,,,,,,
лоточный,,,,,,,,,,,,,,,,,,,,,
лябер,,labwerk,м.,,,,да,да,"Украшение вокруг чего-л. в виде выступающих зубцов, листьев и т.п.",,"СлРЯ, 8, 349.",,,,XVII в. ,,"Блюдо четверомѣстное, подъ нимъ четыре лябра отливные сквозные, поддонъ получеканный. Заб.Мет.пр., 52. XVII в.",,,,
лядунка,,ładunek,ж.,"ладунка,ледунка",,,,да,"1. Сумка для патронов и пороха. 2. Готовый заряд, патрон.",,"СлРЯ, 8, 350.",,,,1608 г.,,"Ладунка съ заряды ветчана, бархатъ червчатъ, тесма шолкъ зеленъ, пряшка серебряна бѣла. Оп.им.Тат., 10. 1608 г. Надобно ихъ заряжати патронами, сиречь зарядцы готовыми или ладунками. Устав ратных д. II, 94. XVII в.",,,,
лядуница ледуница???,,,ж. ,,,,,,"То же, что ладунка в знач. 1. ",,"СлРЯ, 8, 350.",,,,1664 г.,,"Рейтаромъ на клей и на жилы, на тысечю ледунецъ... [дано] дватцать рублевъ. ДТП III, 494. 1664 г. ",,,,
лядуночный,,,прил.,,лядунечный,,,,Относящийся к лядунке.,,"СлРЯ, 8, 350.",,,,1641 г.,,"Девят<ь> ременеи лядуношныхъ. Якут.а., карт. 4, № 5, сст. 3. 1641 г.",,,,
лядунченко,,,ж.,,,,,,Уменьш.-уничиж. к лядунка.,,"СлРЯ, 8, 350.",,,,1643 г.,,"Лядунченко бархатная цветная. Якут.а., карт. 5, № 8, сст. 3. 1643 г.",,,,
малпа,,małpa,ж.,,,,,да,Обезьяна.,,"СлРЯ, 9, 21.",,,,1688 г.,,"Во ин день ехалъ Гвидонъ по дрова... и увидѣлъ малпу на древѣ. Рим.д., 146. 1688 г. ДАТИРОВКА? ПОЛЬСКАЯ ПАРАЛЛЕЛЬ ",,,,
*маляр,,malarz,м.,моляр,,,,да,"Мастер, расписывающий что-л. красками, живописец.",,"СлРЯ, 9, 257.",,,,1669 г.,,"На роздачю кормовыхъ денегъ... иконописцомъ, и золоторямъ, и молерамъ, и сусальщикомъ, и терщикомъ, и левкащикомъ. ДТП III, 972. 1669 г.",,,,
молярня,,malarnia,ж.,,,,,да,Мастерская живописца.,,"СлРЯ, 9, 257.",,,,,,"Куплен таз мѣдной... и тот таз отдан в молярню. Кн.Ивер.м. II, 254 об.  1668 г.",,,,
молярский,,malarski,прил.,,,,,да,"Относящийся к живописи, принадлежащий живописцу.",,"СлРЯ, 9, 257.",,,,1669 г.,,"Покупка в Ыверской мнс҃трь молярская... мелу шесть пуд... киноварю пят<ь> фунтов. Кн.Ивер.м. II, 11. 1669 г.",,,,
марграф,,margrabia,м.,"марграфъ,маркграфъ,малграфъ",,,,да,"Титул правителя пограничной области с военным управлением в средневековой Западной Европе, а также наследстванный титул некоторых германских владетельных князей; лицо, имевшее этот титул.",,"СлРЯ, 9, 30.",,,,1514 г.,,"Мы Максимилианъ... римский цесарь... марграфъ римского государства. СГГД V, 62. 1514 г.",,,,
*маркграфовъ,,,прил.,мархравовъ,,,,,"Принадлежащий маркграфу, подчиняющийся маркграфу.",,"СлРЯ, 9, 30.",,,,1622 г.,,"Всѣ мархравовы осадные люди... здалися. Куранты1, 67. 1622 г.",,,,
*маркграфский,,,прил.,мархравский,,,,,"Принадлежащий маркграфу, подчиняющийся маркграфу.",,"СлРЯ, 9, 30.",,,,1622 г.,,"Мархравских людей... послал. Куранты1, 69. 1622 г.",,,,
*маркграфство,,,с.,марграфство,"марграфшество, малхрафшество",,,,"Область, управляемая маркграфом.",,"СлРЯ, 9, 30.",,,,1597 г.,,"Его королевского величества думчаго и марграфства Ляужнитцкого судья от себя великого посла къ вашему величеству отпустилъ. Рим.имп.д. II, 403. 1597 г.",,,,
маркрабий,,margrabia,м.,,,,,,"Титул правителя пограничной области с военным управлением в средневековой Западной Европе, а также наследстванный титул некоторых германских владетельных князей; лицо, имевшее этот титул.",,"СлРЯ, 9, 31.",,,,1489 г.,,"И Юрью молвити: за того маркрабия государю нашему дати не пригоже. Рим.имп.д. I, 17. 1489 г.",,,,
марк1,,marka II,м.,,,,,да,Область в Германии.,,"СлРЯ, 9, 30.",,,,1626 г.,,"Вѣсти из маркъ Бранденбурха. Куранты1, 75. 1626 г.",,,,
маркский,,,прил.,,,,,,??,,"СлРЯ, 9, 31.",,,,1620 г.,,"Марские вел<ь>можи... отреди<ли> многих начал<ь>них людеи моностырские доходы збирати. Куранты1, 36. 1620 г.",,,,
марк2,,marka II,м.,,,,,да,Марка (денежная единица в Средней Европе и Скандинавии).,,"СлРЯ, 9, 30.",,,,1586 г.,,"А на тѣ было денги въ Амборте товару купити 40 берковецъ мѣди по 55 маркъ за берконецъ [так!]. Англ.д., 220. 1586 г.",,,,
маршалокъ,,marszałek,м.,"маршалокъ,моршалокъ,маршалкъ, маршалъ",моршалко,,,да,"1. Высший чин при дворах некоторых европейских королей; лицо, имевшее этот чин. 1.1. Маршалокъ надворный, коронный, дверной -- должности дворцовых управляющих и церемониймейсеров. 2. Звание высокого ранга в духовно-рыцарском ордене; лицо, имевшее это звание. 3. Воинское звание высшего ранга; лицо, имевшее это звание.",,"СлРЯ 9, 32.",,,,1518 г.,,"За полверсты до города встрѣтилъ ихъ маршалокъ дверной цесаревъ Леонардъ Раубертъ. Рим.имп.д. I, 343. 1518 г.",,"Ср.-в.-нем. marschalk было заимствовано в русский язык двумя путями: напрямую и через польское посредство (польск. marszałek), что соответствует вариантам моршолд и маршалок, маршалк.  Семантика слова марашалок несколько шире: оно зафиксировано в трех значениях, тогда как моршолд (маршолд) — только в значении (2).",,
маршалокъ,,,,,"маршолдъ,моршолдъ",,,да,"1. Высший чин при дворах некоторых европейских королей; лицо, имевшее этот чин. 1.1. Маршалокъ надворный, коронный, дверной -- должности дворцовых управляющих и церемониймейсеров. 2. Звание высокого ранга в духовно-рыцарском ордене; лицо, имевшее это звание. 3. Воинское звание высшего ранга; лицо, имевшее это звание.",,"СлРЯ 9, 32.",,,,XV в.,,"(1410): Бысть побоище королю Ягайлу Олгердовичу... с нѣмци с прусы... и убиша местеря и моршолда и кунтуры побиша. Новг. I лет., 397. XV в.  ",,"Ср.-в.-нем. marschalk было заимствовано в русский язык двумя путями: напрямую и через польское посредство (польск. marszałek), что соответствует вариантам моршолд и маршалок, маршалк.  Семантика слова марашалок несколько шире: оно зафиксировано в трех значениях, тогда как моршолд (маршолд) — только в значении (2).",,
маршалковъ,,,прил.,,,,,,Находящийся под командованием маршалка.,,"СлРЯ, 9, 32.",,,,1636 г.,,"На семъ бою убитыхъ из начал<ь>ныхъ людеи... полковникъ Бярхъговер... полуполковникъ... полково маршалкова полку. Куранты1, 170. 1636 г.",,,,
махлевати,,machlarz,глаг.,,,,да,да,"Плутовать, мошенничать в карточной игре.",,"СлРЯ, 9, 49.",,,,1701 г.,,"Играл де он с ним Матвѣемъ в карты, и он де Матвѣй избронил тово хто игорю махлюе. Ворон.столб., кор. 2, № 55. 1701 г.",,,,
маца,,maca,ж.,,,,да,да,Мера зерна.,,"СлРЯ, 9, 49.",,,,XVI в.,,"Две маци жита, а третяа пшеници. (Вкладн.Ев.) Рум., 190. XVI в.",,,,
*мачта,,maszta ||maszt,ж. и м.,машта,машть,,,да,Мачта.,,"СлРЯ, 9, 50.",,,,1696 г.,,"Естли которой капитанъ какия вѣсти услышитъ... про неприятеля... фанарь на маштѣ да поставитъ. Петр, I, 66. 1696 г.",,,,
митель,,mitel II,,,,,да,да,"Средняя балка, скреплюящая борта судна.",,"СлРЯ, 9, 179.",,,,1709 г.,,"А бол<ь>шая широта, то есть подъ мителемъ, идѣже карабль ширѣ, въ полторы краты ширѣ, нежели штевенъ. Алярд, 55. 1709 г.",,,,
мом,,mum,м.,,,,??,да,Сорт немецкого пива.,,"СлРЯ, 9, 257.",,,,1659 г.,,"Подъ церковью въ погребѣ... полторы бочки пива нѣмецкаго мома. Росп.им.Н.Ром., 62. 1659 г.",,,,
морг,,mórg ||morga,м.,,,,,да,Мера земельной площади (несколько более полудесятины земли).,,"СлРЯ, 9, 261.",,,,1386 г.,,"Се язъ великии князь Дмитреи Олгирдовичь помолился есми Богу и святои Богородицы... и озера, и морги... а кто порушить судится со мною. А Зап.Рос. I, 22. 1386 г.",,,"Встречается только в смоленских документах. Нем. Morgen ‘утро’ как мера означало земельную площадь, которую можно было обработать за утро (с восхода солнца до завтрака). Мера была распространена на территориях Украины и Белоруссии, она входила в государственную систему мер Великого княжества Литовского, где равнялась 0,71 га.",
*мордъ,,mord,,моръдъ,,,да,да,Убийство.,,"СлРЯ, 9, 261.",,,,1561 г.,,"И ты, братъ нашъ... на Ифлянтскую землю, панванью и оборонѣ нашей подданую, валку поднесъ еси, за чимъ моръдъ а кровопролитье надъ паддаными нашими... стался. Польск.д. III, 28. 1561 г.",,,,
мордерца,,morderz,,,,,да,да,Убийца.,,"СлРЯ, 9, 261.",,,,XVIII в.,XVII в.,"RD II Мнѣхъ, яко въ моемъ радость сотворите сердцы, вы въ слезахъ аки люты топите мордерцы. Дм.Ростовский. Рожд.др., 378. XVIII в. ~ XVII в.",,,,
мордовати,,mordować,глаг.,,,,,да,"Бить, мучить, истязать.",,"СлРЯ, 9, 261-262.",,,,1562 г.,,"И границы, въ перемирныхъ листѣхъ описаные, переходячи войска твои войною пустошили и невинныхъ людей мордовали. Польск.д. III, 52. 1562 г.",,,,
*мундштук,,munsztuk ||musztuk (rodzaj kiełzna końskiego),м.,"муштукъ,муштокъ",,,,да,"1. Удила с подъемной распоркой у нёба. 2. Часть духового музыкального инструмента, которую при игре берут в рот или прикладывают к губам, мундштук. ",,"СлРЯ, 9, 325.",,,,XVI-XVII в.,,"Муштукъ шитъ пряденымъ золотомъ. Отр.стар.оп., 330. XVI-XVII в. 6 трубъ ломаныхъ безъ муштуковъ. АМГ III, 544. 1663 г.",,,,
муштучникъ,,,м.,,,,,,"Ремесленник, изготавливающий удила.",,"СлРЯ, 9, 325.",,,,1655 г.,,"Велѣно дати послѣ смерти боярина Никиты Ивановича Романова людемъ ево надѣлку... муштучнику Матвѣю Мартьянову пять рублевъ. Росп.им.Н.Ром., 92. 1655 г.",,,,
наруговатися,,rugować,глаг.,,,,да,да,,,,,,,,,,,,,
норский,,norder,прил.,,,,,да,"1. Сукно норское -- голландское сукно, производившееся в г. Наарден. 2. Однорядка норская -- однорядка из такого сукна.",,"СлРЯ, 11, 423-424.",,,,1588 г.,,"Сорокъ поставовъ суконъ норскихъ. Англ.д., 229. 1588 г. Да на Володе было платья... кафтанъ крашенинной заечей да однорятка норская синя. Ревел.а. I, 61. XVI в.",,,,
оберъ-вахмейстеръ,,oberwachmistrz,м.,обристервахтъмеистеръ,,,нет,да,Воинский чин в западноевропейских армиях.,,"СлРЯ, 12, 32.",,,,1698 г.,,"Дается отъ курфистра начал<ь>нымъ людемъ и салдатомъ на мѣсецъ берлинской монеты... маиоръ или оберъ-вахмейстеръ 50, капитейнъ или хоуптъманъ 42. Петр, I, 716. 1698 г.",,,,
оберстеръ,,oberszter,м.,оберштеръ,"оберстъ, обарстъ",,,да,Воинский чин в западноевропейских армиях; полковник.,,"СлРЯ, 12, 34.",,,,1698 г.,,"Дается отъ курфистра начал<ь>нымъ людемъ и салдатомъ на мѣсецъ берлинской монеты... генералъ-маеоръ 72, оберстеръ или полковникъ 72. Петр, I, 716. 1698 г.",,,,
оберстъ-лейтенантъ,,obersztlejtnant,м.,обарстъ-лейтенантъ,,,,да,Воиский чин в западноевреопейских армиях.,,"СлРЯ, 12, 34.",,,,1698 г.,,"Дается отъ курфистра начал<ь>нымъ людемъ и салдатомъ на мѣсецъ берлинской монеты... оберстъ-лейтнантъ или полуполковникъ 62. Петр, I, 716. 1698 г.",,,,
обруговати,,rugować,глаг.,,,,,да,,,,,,,,,,,,,
обрысовати,,rysować,глаг.,,,,да,да,,,,,,,,,,,,,
опшлаг,,obszleg,м.,,обшлягина,,,да,"Отворот на рукавах одежды, обшлаг.",,"СлРЯ, 12, 191.",,,,,,,,Варианты обшлаг и обшлягина только в текстах XVIII в.,,
,,obszleg,,обшлаг,,,,да,,,,,,,,,,,,,
охаратки,,grat,мн.,,,,да,да,,,,,,,,,,,,,
охмистръ,,ochmistrz,м.,"охмистеръ, ахмистръ",,,,да,,,,,,,,,,,,,
пальцграф,,falcgraf,м.,"пальцграфъ,пфалцъграфъ,палсъграфъ,палцъграфъ,пальцхравъ",,,,да,,,,,,,,,,,,,
панцырь,,pancerz,м.,пансырь,нет,"из ср.-в.-н. раnziеr (от ст.-франц. раnсiеr) через польск. pancerz, или из ср.-нж.-н. раnsеr.",,да,"Сходный по форме с кольчугой доспех из мелких металлических колец и отковкой проволоки, тж. как общее название кольчатых и иных защитных доспехов.",,,"панцыр: Словник староукраiнськоi мови XIV-XV ст. т. 2. Киiв, 1975. с. 125.","Библ.Генн. 1499 г. (2 Парал. XXVI, 14)","Оруж.Бор.Год., 36. 1589 г.; Оп.им.Матв., 16. 1682 г.; Кн.окл.сиб.гор., 223 об. XVII в.",,,Щиты и копиа и шоломы и пансыри.,доспехи,"Формы на -ц- получены, вероятно, через посредство польск. раnсеrz из ср.-в.-н. раnziеr от ст.-франц. раnсiеr; русск. формы на -с-, возм., переданы через ср.- нж.-н. раnsеr. Фасмер, ","название разновидности кольчатого доспеха, используемое в на Руси с 70-х годов XV века. Также был распространён в Польше, Литве, Казанском ханстве, Астраханском ханстве и в других регионах Восточной Европы и Средней Азии. Панцирь имел вид рубашки, надеваемой через голову, с рукавами (разнообразной длины), иногда — горловиной. Иногда также украшался бляхами из цветных металлов.",пансырь
плюдры,,pluder,,плюндры,,,,да,,,,,,,,,,,,,
поташъ,,potaż,м.,поташь,,,,да,,,,,,,,,,,,,
притосовати,,stosować,глаг.,,,,,да,,,,,,,,,,,,,
пришрупити,,śrubować,глаг.,,,,да,да,,,,,,,,,,,,,
провар,,browar,м.,броваръ,провара,,,да,"Варка пива. Плата за пользование котлом. Количество меда или пива, изготовляемое за одну варку. Проваривание, изготовление кипячением. Место, где варили пиво. Пошлина за варку пива.",,,,,,,,,,,,
пролук,,luka II,,,,,да,да,,,,,,,,,,,,,
райна,,reja I,,,рая,,,да,,,,,,,,,,,,,
рама,,rama,ж.,,рамо 2,,,да,,,,,,,,,,,,,
рама,,rama,ж.,,"рамъ,",,,да,,,,,,,,,,,,,
рама,,rama,ж.,,"рамы,рямы",,,да,,,,,,,,,,,,,
расшурупати,,śrubować,глаг.,розшурупати,,,,да,,,,,,,,,,,,,
ратман,,ratman,м.,,,,,да,,,,,,,,,,,,,
ратуша,,ratusz,ж.,,"ратушъ, ратхузъ",,,да,,,,,,,,,,,,,
рафленый,,rafa IV,прил.,,,,,да,,,,,,,,,,,,,
рахунка,,rachunek,ж.,рохунка,,,,да,,,,,,,,,,,,,
рейтар,,rajtar,м.,райтар,,,,да,,,,,,,,,,,,,
рета,,reta,,,,,да,да,,,,,,,,,,,,,
риштонъ,,rynsztunek,м.,,,,да,да,,,,,,,,,,,,,
рудель,,rudel I,,,,,да,да,,,,,,,,,,,,,
рыдванъ,,rydwan,м.,,,,,да,,,,,,,,,,,,,
рыно,,rynna,,,рвина,,,да,,,,,,,,,,,,,
рюм,,rum II,м.,,,,да,да,,,,,,,,,,,,,
минуции,,minucja,мн.,миноцеи,нет,"из лат. minutia ‘мелочь, пустяк’ через польск. minucja ‘календарь с прогнозами’ ",,да,"‘календари или часть календаря, иногда включавшие астрономические или астрологические прогнозы’",,,,"

нет","1665 Кн. Ивер. м., I, № 20, 74 (ЛОИИ Ф. 181. Оп. 2. № 20); Спафарий. Китай, 227. 1675–1678 гг.",,,Куплены миноцеи немецкие даны пят алтынъ и тѣ миноцеи отданы старцу Гаврилию,литературный жанр,"Ср. также Минуца или минуция, ж. ‘римские двенадцатиричные дроби’: Раздели полкруга на двенатцать частей… выше писанные 12 частей еще в томъ же размѣрѣ, иные есть 12 частей, которые называются минуцыи, и будет тѣхъ минуцевъ  всего 144 (И. Бойлота. Худож. огненное., л. 62. 1694 г.). И по минуцам пушку тое подыми, токмо чрез шестую минуцу нелзѣ поднять, которые минуци покажутъ сколь далече и высоко стреляти. А у верховныхъ пушекъ пустить мочно на двенатцать минуцъ (Там же, л. 63). В данном значении полонизм зафиксирован дважды в военной книге Бойлота Лангрини «Огнестрельное художество, или Художные огнедеяния», переведенной с голландского в Посольском приказе в 1694 году.","На Руси первые подобные календари-альманахи, чтение которых осуждалось как пропагандирующее магию и чародейство, появились не ранее 1664 года ","миноцеи, ср. минуца, минуция."
скалва,,,ж.,"скалка,скалъка,сколка,сколька",скалы,,,да,,,,,,,,,,,,,
слѣсарь,,ślusarz,м.,,,,,да,,,,,,,,,,,,,
смалчога,,szmelcuga,ж.,"смалчюга,смалцуга,смолцуга,смольчуга,","смольчугъ,смальчюгъ",,,да,,,,,,,,,,,,,
смачный,,smak,прил.,,,,да,да,,,,,,,,,,,,,
снѣтъ,,sznyt,,,,,да,да,,,,,,,,,,,,,
снѣтки,,stynka,мн.,"снѣтки,снетки,снятки,",снятокъ,,,да,,,,,,,,,,,,,
снуръ,,sznur,м.,,,,,да,,,,,,,,,,,,,
сныцарь,,snycerz,м.,"сницарь,сницерь",,,,да,,,,,,,,,,,,,
списъ,,spisa,,,списа,,,да,,,,,,,,,,,,,
спица,,spisa,ж.,,,,,да,,,,,,,,,,,,,
сталь,,stal,ж.,,,,,да,,,,,,,,,,,,,
стандартъ,,sztandar,м.,стандоръ,,,,да,,,,,,,,,,,,,
стрыхалка,,strychulec,ж.,"стряховка,стрековка",,,,да,,,,,,,,,,,,,
стыръ,,ster,,,"стырь,стирь",,,да,,,,,,,,,,,,,
стюкъ2,,sztuk,,,,,,да,,,,,,,,,,,,,
талеръ,,talar,,,"талерь,талярь,тарель 2",,,да,,,,,,,,,,,,,
ташка,,taszka,ж.,,,,,да,,,,,,,,,,,,,
тиръ,,ter,м.,,,,да,да,,,,,,,,,,,,,
*цвилих,,cwelich,м.,свилик,,,да,да,,,,,,,,,,,,,
шляпа,,szłapa,ж.,"сляпа, шлапа",,,,да,,,,,,,,,,,,,
шнур,,шнуръ,м.,,,,да,,,,,,,,,,,,,,
штокъ,,sztok,м.,стюкъ1 ,,,,да,,,,,,,,,,,,,
штурманъ,,styrman,м.,"стирманъ,стюрманъ, штюрманъ, штирманъ, шторманъ",,,,да,,,,,,,,,,,,,
штюрмъ,,sztorm,м.,стормъ ,,,,да,,,,,,,,,,,,,
ассистентъ,,asystent,м.,,,Внимание: Аникин не полонизм,,,,,,,,,,,RE 1662,,,,
асма,,"asma СОГЛАСНО АНИКИНУ, ИСПРАВИЛА НА СТАРОПОЛЬСКИЙ",ж.,,,"Из ст.-польск. asma с выпадением t < лат. <
греч. ἆσθμα,  (Аникин, 1, 322).",,да,"Удушье, астма.",,"СлРЯ, 1, 55",,,,XVII в.,1534,"Хрипление горляное, а то есть асма. Травник Любч., 236. XVII в. ~ 1534 г.",,"Рус. аcтма в совр.
форме усвоено через зап.-евр. яз. Ср. прил. астматúческий <
франц. astmatique (Аникин, 1, 322).",,
асматисый,,???,прил.,,,см. асма,,да,"Страдающий астмою, удушьем.",,"СлРЯ, 1, 55",,,,XVII в.,1534,"Тои же корень варенъ въ винѣ и то подсычено сахаромъ, голоднымъ гораздо и приято пристоитъ асматисымъ, сирѣчь тяжкодыхател<ь>нымъ. Травник Любч., 297. XVII в. ~ 1534 г.",,,,
астрологъ,,astrolog,м.,острологъ,,"посредство
ст.-польск. astrolog < лат. astrologus < греч. ἀστρόλογος,  сложение ἄστρον ‛звезда’ и λόγος ‛счет, исчисление’ (Аникин, 1, 323-324).",,да,"1. Тот, кто занимается астрологией, астрологическими гаданиями. 2. Книга по астрологии.",,"СлРЯ, 1, 56; Срз. 1: 32",,,,XVII–XVI вв.,XVI в.,"М<у>др<ств>ование астрологовъ и астрономов. Посл. Филоф., 36. XVII–XVI вв. ~ XVI в.",,,,
астрологъ,,astrolog,м.,острологъ,,"посредство ст.-польск. astrolog < лат. astrologus < греч. ἀστρόλογος, сложение ἄστρον ‛звезда’ и λόγος ‛счет, исчисление’ (Аникин, 1, 323-324).",,да,"1. Тот, кто занимается астрологией, астрологическими гаданиями. 2. Книга по астрологии.",,"СлРЯ, 1, 56",,,,1649,,"Заложилъ де имъ клирошенинъ Молдоръ книгу острологъ въ 20 ал. на пропой. Сл. и д. I, 90. 1649 г.",,"Кальки греч. слова представлены в ст.-рус. звѣздочетъ, звѣздочетецъ,
звѣздословъ. Первое из этих слово получило широкую известность
благодаря Пушкину (Обратился к мудрецу, Звездочету
и скопцу), но встречалось по крайней мере с XVI в., ср. (Пар.Словарь)
sevyez dachocq = звѣздачёт 1586. С помощью
этого слова Ларин объяснял слово (Пар.) setrollicq = стролик. Возможно, из источника
типа итал. венец. stroleg(o) (= итал. (a)strologo), откуда с.-хорв.
(Дубровник) stròlig и др.
Рус. острологист происходит (видимо, через ст.-польск.) из
ср.-лат. astrologista (Аникин, 1, 324).",,астрология
астрологийский,,,прил.,,,см. астрология,,да,Относящийся к астрологии.,,"СлРЯ, 1, 56",,,,1672 г.,,"Егда вѣтръ на древо прииде чрезъ мудрость астрологийскую, вси тыя птицы своими гласы воспѣваху. Спафарий. О сивиллах, 6 об. 1672 г.",,,,
астрологический,,,прил.,,,см. астрология,,да,Относящийся к астрологии.,,"СлРЯ, 1, 56",,,,XVI в.,,"Великий Константинъ нѣкоего астролога воспроси, именемъ Уалента, о пребывании, егоже созда града, сего убо ради достойно мните нужнѣ быти царемъ астрологической хитрости. М.Гр. I, 291. XVI в. ",,,,
