А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
евтухияне,,Εὐτυχιανισταί,мн.,евтихияне,,,,,"последователи евтихианской ереси (по имени основателя Евтихия или Евтиха), монофизиты",,"СДРЯ III, 178",,"КЕ XII, 67 – 68 (СДРЯ III, 178)",,XII в.,,"несторианы же и еутухианы и севирианы. и отъ таковыихъ ересии. подобаеть творити написание. и проклинати ереси. и нестория. и еутухиа и ди‖оскора и севира. КЕ XII, 67 – 68 (СДРЯ III, 178)",религия. ереси и секты,,,евтихияне,,
евтухиянский,евтухияне,,прил.,,,,,,относящийся к евтухианам ,,"СДРЯ III, 178",,"КР 1284, 8г (СДРЯ III, 178)",,,1284 г.,"анастасии бо ц(с)рь въ евтух(и)яньскую уклони(с) ересь. КР 1284, 8г (СДРЯ III, 178)",религия. ереси и секты,,,евтухийский,,
евхаристия,,εὐχαριστία,ж.,,,,,,святое причастие,,"СлРЯ, 5, 12","Грц.макед., 114",,,,1645 г.,"И двѣ суть тайны глаголются крещение и евхаристия… в причащении тѣла и крови господни. Прения кор. Вальд., 289. 1645 г.",религия. богослужение,,,,,
евхиния,,εὐχή,ж.,,евхия,,,,молитва,,"СДРЯ III, 179",,"ПрЛ XIII, 127а",,XIII в.,,"и дьякономъ объступльшимъ ст҃ыи олтарь. нача еп(с)пу ст҃ую службу. нача мл҃тву възношению. и прѣже сконцания. еп(с)пъ еухыпу [так!] нача второе и ‧г҃‧ее ту же мл҃тву. ПрЛ XIII, 127а; и дьякономъ же обьступльшимъ ст҃ыи олтарь. нача еп(с)пъ ст҃ую службу. и нача мл҃тву взношению преже кончания нача же е‖п(с)пъ еухинию. нача же второю. паки же третьее ту же мл҃тву. ПрЮр XIV, 217б-в (СДРЯ III, 179)",религия. богослужение,,,"евхия, еухия ",,
евхитский,,,прил.,,,,,,"относящийся к ереси евхитов, молебников ",,"СДРЯ III, 179",,"ПНЧ 1296, 138 (СДРЯ III, 179)",,1296 г.,,"Отъ ереси. еухитьскыя. въ месалианьхъ. Еухитьская ересь съ инѣми множаишими. и се приносить… яко подобаеть постьникомъ. цр҃квныхъ сбирании ре(ч) не ожидати. доволѣти же въ постьныхъ его мл҃твхъ. ПНЧ 1296, 138 (СДРЯ III, 179)",религия. ереси и секты,,"последователи ереси, распространившейся в Сирии, Малой Азии и Персии в IV-VII вв. Иначе называются мессалиане – «молитвенники».",,,
евхия,,εὐχή,ж.,еухия,евхиния,,,,молитва,,"СлРЯ, 5, 12; СДРЯ, III, 179",,,,,1280 г.,"Пьрвѣе дасть ему еухию, еже есть молитва анагностьская об остризании причетническо(мъ). (Правило мт. Кирилла) РИБ VI, 91. 1280 г.",религия. богослужение,,,"еухия, евхиния",,
евхологий,,εὐχολόγιον,м.,,евхолой,,,,"молитвенник, молитвослов",,"СлРЯ, 5, 12",,"Скрижаль, VI, 80. 1656 г.","В.чел.Ник. Пустосв., 382. 1665 г.",,,"Цр҃ковныя книги еухология же сирѣч мл҃твословия гл҃ю. Скрижаль, VI, 80. 1656 г.",религия. богослужение,,,еухологие,,
евхолой,,εὐχολόγιον,м.,,евхологий,,,,"евхологий, требник ",,"СДРЯ III, 179",,"Уст XII/XIII, 198 (СДРЯ III, 179)",,XII -XIII вв.,,"егда же приближить(с) къ степеньмъ по(п). къ вышьнии тряпезѣ възводящи. стоить долѣ таковыхъ степении. на деснѣи странѣ. на въстокъ зьря. и сию мл҃тву о себе гл҃я. г҃и б҃е нашь нб(с)ныи животворящии хлѣбъ. ищи ея въ евъхолои. Уст XII/XIII, 198 (СДРЯ III, 179)",религия. богослужение,,,,,
егемонъ,,ἡγεμών,м.,"гемонъ, игемонъ",,,,,правитель. властитель,,"СлРЯ, 5, 13",,,"Подлинник новг., 24. XVI в.",,,"Во времяне Ликиниа царя святии сташа предъ егемономъ и християни ся исповѣ даша глаголаша: «нынѣ убо 3 суть борящеи насъ: сатана и дука [в тексте: духа] и гѣмонъ». Подлинник новг., 24. XVI в.",государство. должности и титулы,,,игемонъ,,
егокеръ,,αἰγόκερως,м.,,,,,,"название македонского месяца, соответствующего названию созвездия Козерога",,"Срз. I, 808",,"Изб.Св. 1073 г., л. 251.",,1073 г.,,"Мс҃ци по македонамъ .а҃. таурос .в҃. дидумъ… .ѳ҃. егокеръ [глосса: … козьль рогъ] (αἰγόκερως). Изб.Св. 1073 г., л. 251.",календарь. месяцы,,,,,
едемский,едемъ,,прил.,,,,,,относящийся к Едему,,"Срз. I, 809; СлРЯ, 5, 15","SJS I, 566",,,ΧΙV в.,,"Сильв.сб. XIV в. (Срз. I, 809)",религия. богословие,,,,,
едемъ,,Ἐδέμ,м.,,,от др.-евр. Eden,,греч.,"рай, райский сад в Библии (Быт. II, 8)",,"Срз. I, 809; СлРЯ, 5, 15","SJS I, 565","Мин.ноябрь, 358. 1097 г.","Кир.Тур. Притч. о чел.душ. 145 (Срз. I, 809); (Поуч.мт. Фотия) (ДАИ, I, 332. 1430 г. ",1097 г.,,"Из Едема ... исходяще (ἐξ 'Εδέμ). Мин.ноябрь, 358. 1097 г.",религия. богословские понятия,,,,,
екдикъ,,ἔκδικος,м.,егдакъ,,,,,"название должностного лица в христианской церкви, обязанного служить посредником для христиан, искавших защиты перед гражданским судом",defensor civitatis,"ФГcэ, III, 57; Срз. I, 414; СлРЯ, 5, 42",,"Корм. (Рум.), 17 об. XIV в.",,ΧΙV в.,,"Въ клиросѣ ли поставити екдика, ли пономаря, ли иного канонька за срамьныи прибытъкъ свои, се творя, ли обыченъ бывъ отпадеть своея чьсти. Корм. (Рум.), 17 об. XIV в.",религия. богослужебные должности,,,,,
екзаметръ,,ἑξάμετρος,м.,,,,," гекзаметр, стихотворный размер",гекзаметр (стихотворный размер),,"СлРЯ, 5, 43",,,"Алф.1, 70. XVII в.",,ΧVΙΙ в.,"Екзаметръ, шестомѣрителный. Алф.1, 70. XVII в.",искусство. стихосложение,,,,,
еклисиархъ,,ἐκκλησιάρχης,м.,"ексиархъ, екклисиархъ",,,,,"распорядитель в храме, монастыре",custos ecclesiae,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43",,,"Толк. речем5, 280. XVI в.",,XVI в.,"Екклисиархъ – црк҃ви начало, сирѣчь уставьщикъ. Толк. речем5, 280. XVI в.",религия. богослужебные должности,,,,,
еклисиастъ,,ἐκκλησιαστής,м.,клисиастъ,,,,,проповедник, Екклисиаст - название книги Ветхого завета,,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43; СДРЯ, III, 205",,"КЕ XII, 20а-б (СДРЯ III, 205)","СкБГ XII, 18б",ΧΙΙ в.,,"Да будеть же вамъ всѣмъ причьтьникомъ. кънигы чьстьны и ст҃ы… ‖ …соломоня троя. притъча. еклисиастъ. пѣние пѣнии. КЕ XII, 20а-б (СДРЯ III, 205); Еклисиастъ – цр҃квьник<ъ>. Толк. речем3, 264. XVI в.",религия. богослужебные книги,,,клисиастъ,
еколога,,ἐκλογή,ж.,,,,,,"выдержки, цитаты из книг ",,"СлРЯ 5, 43",,,"Алф.1, 80 об. XVII в.",,ΧVΙΙ в.,"Еклоги, главизны словесъ. Алф.1, 80 об. XVII в.",культура. наука,,,,,
економъ,,οἰκονόμος,м.,икономъ,,,,,"управляющий хозяйственными делами, эконом ",,"СлРЯ 5, 43",,,"Арс.Сух. Проскинитарий, 89. 1651 г.",,,"А въ церкви во весь годъ неизмѣнно живетъ старецъ честной и вѣрной экономъ, еже есть строитель; онъ вѣдаетъ всю церковную казну и строение и денежный сборъ. Арс. Сух. Проскинитарий, 89. 1651 г.",государство. должности и титулы,,,,,
ексагъ?,,,м.,,,,да,,единица веса ,,"СлРЯ 5, 43",,,"Сим.Обих.книгоп., 15. XV в.",,,"Приложи единому ексагу злата два ексага ртутя, а на четерѣ зерна злата ексаг ртутя… и мѣшаи внутрь горньца обелѣвшее злато. Сим. Обих. книгоп., 15. XV в.","меры длины, веса, объема",,,,,
ексамеръ,,ἡξαήμερον,м.,,,,да,,"«Шестоднев» - название произведения Василия Великого, архиепископа Кесарии",,не зафиксировано,,"Шестоднев Ио.екз.Бог.2 (Б.), 64. XV в.",,XV в.,,"Си же Словеса шесть, г҃и мои [обращение к болгарскому князю Симеону], не о себѣ мы есмы сътворили, но ово от Ексамера с҃тго Васильа истовая словеса, ово же и разумы от него приемлюще, такоже и от Иоанна, а другое от другых. Шестоднев Ио.екз.Бог.2 (Б.), 64. XV в.",,,,,,
ексапла,,ἑξαπλᾶ,неизм.,,,,,,"Гексапла, свод текстов Ветхого завета, составленый Оригеном (примерно к 245 г.) ",," СДРЯ, III, 205",,"ГА XIII – XIV, 191в (СДРЯ III, 205)",,XIII – XIV вв.,XI в.,"при том(ж) Антинине Климентъ, яко же ре(ч), Оригенью разичныхъ исписании остави и съ Евреискыми знаменьи гл҃емыхъ ексапла, рекше шестогубьци. ГА XIII – XIV, 191в (СДРЯ III, 205) ",религия. богослужебные книги,,,,,
ексапсалмие,,ἐξάψαλμος,с.,,ексапсалмы,,,,шестопсалмие,,"СлРЯ, 5, 43","Грц.макед., 108 (ексапсалъмо)",,"ДАИ V, 463. 1667 г.",,,"На утрени предъ ексапсалмиемъ… вшедъ въ олтарь стани предъ святою трапезою и сотворь… поклонение. ДАИ V, 463. 1667 г.",религия. богослужебные книги,,,,,
ексапсалмы,,ἐξάψαλμος,мн.,,ексапсалмие,,,,ексапсалмы,sex psalmi,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43; СДРЯ, III, 205 (ексапсалмъ)",,"УСт XII-XIII, 228-228 об. (СДРЯ, III, 205)","Лавр.лет., 133. 1377 г.; (Пис.Ив. Данилова) Суб.Мат. I, 29. 1653 г.",XII-XIII вв.,,"(1015): И кончавъ [Борис] ексапсалмы [по вар.] увидѣвъ яко послани суть губитъ его, нача пѣти пс҃лтырю. Лавр. лет., 133. 1377 г.",религия. богослужебные книги,,,оксапсалмъ,,
ексархъ,,ἔξαρχος,м.,екзархъ,,,,,"глава отдельной большой церковной области, глава монастыря",princeps,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43; СДРЯ, III, 205-206","SJS 1,588; Грц.макед., 108 (екзарх)","Ефр. Корм., 120. XII в.","с ΧΙΙ в. (ЖФП ΧΙΙ, 42а); Д.патр.Никона (Гиб.), II, 1094. 1666 г.",ΧΙΙ в.,,"Аште ли кто обидимъ есть отъ своего митрополита, предъ ексархъмь строения ли предъ Костянтиния града настольникъмь да судиться. Ефр. Корм., 120. XII в.",религия. богослужебные должности,,,,,
ексиархъ,,ἐκκλησιάρχης,м.,еклисиархъ,,,,,"распорядитель в храме, монастыре",,"СлРЯ, 5, 43; СДРЯ III, 206",,,"(Ж.Феодос.Нест.) Усп.сб., 96. XII-XIII вв.",,,"И повелѣвааше пакы великууму Никону …поучение творити братии, таче и пакы преподобьнууму оц҃ю нашему Стефану, ексиарху тъ тъгда сущю. (Ж. Феодос. Нест.) Усп. сб., 96. XII – XIII вв.",религия. богослужебные должности,,,,,
ексимъсе,,ἐξέμεσις,неизм.?,,,,,,лечебное (рвотное) средство,,"СДРЯ, III, 206",,"Уст XII/XIII, 242 (СДРЯ III, 206)",,XII-XIII вв.,,"повелѣваемъ же дати страньнолюбьцю о(т) хранильника. о(т) всѣхъ реченыхъ видъ. и ексимъсе. мигдалъ же и прочая. елико недужьныи трѣбуеть. Уст XII/XIII, 242 (СДРЯ III, 206)",медицина,,,,,
ексихосъ,,ἔξηχος,м.,,,,да,,юродивый,,"СлРЯ, 5, 43; Срз. I, 822",,"Жит. Андр. Юр. VI, 29 (Срз. I, 822). XV – XVI вв.",,ΧV - ΧVΙ вв.,,"Где хощеть быти салосъ и ексихосъ. Жит. Андр. Юр. VI, 29 (Срз. I, 822). XV – XVI вв.",человек. характеристики людей,В издании Жития Андрея Юродивого А.Молдована (2000) слово не отмечено.,,,,
ексория,,ἐξορία,ж.,,,,да,,изгнание,,"Срз. I, 822; СлРЯ, 5, 43",,"Патерик Син., 217.XI в.",,XI в.,XI в.,"Умьре блажены Иоанъ въ еѯории. Патерик Син., 217 (л. 91). XI в.",общественная жизнь,,,,,
експлораторъ,,ἐξπλωράτωρ,м.,,,от лат. explorator,да,греч.,"разведчик, лазутчик",,не зафиксировано,,"Александрия, 6. XV в. ~ XII в.",,XV в.,XII в.,"Ексъплоратори ниции, тако нарицаеми римляне [вм.: римляны], еллинскы же расоци (ἐξπλωράτορες).  Александрия, 6. XV в. ~ XII в.",военное дело. военные должности,,,,,
екскувитъ,,ἐξκουβίτωρ,м.,екъскувитъ,,от лат. excubitor,да,греч.,охранник императорского дворца,,"СлРЯ 5, 43",,"ВМЧ, Дек. 6 – 17, 857. XVI в.",,ΧVΙ в.,,"Видѣвше же схолари иже екъскувита творящеи, купнѣ же слышавше чюдеса, яже створи г҃ь тѣм, оставившеи того, множаишии вослѣдоваша сего. ВМЧ, Дек. 6 – 17, 857. XVI в.",военное дело. военные должности,в СлРЯ дано толкование: начальник стражи ,,,,
ектения,,ἐκτενὴ (εὐχή),ж.,октения ,,,,,ектенья - название последовательности  молитвенных прошений,,"ФГcэ, III, 57; Срз. I, 822; СлРЯ, 5, 43; СДРЯ III, 206","Грц.макед., 109","УСт XII – XIII, 2 (СДРЯ, III, 206)","(Ж.Феодос.Нест.) Усп.сб., 124. XII-XIII вв.; (Росп. Лазаря) Суб.Мат. IV, 190. 1666 г.; АИ IV, 491. 1672 г.",XII-XIII вв.,,"УСт XII – XIII, 2 (СДРЯ, III, 206); И въ ектении веля того поминати. (Ж. Феодос. Нест.) Усп. сб., 124. XII – XIII вв.",религия. богослужение,,,,,
еламъ,,αἰλάμ,м.,,,от др.-евр. ’ūlām seu,,греч.,"притвор, преддверие, род крытого крыльца ",,"СлРЯ 5, 44","SJS I, 568: еламьскъ","(Иезек. ХL, 6) Библ. Генн. 1499 г.",,,1499 г.,"И въниде во врата зрящая на въстокъ седмию степень и измѣри теи шесть о сию страну шесть же обону елам двьрьнъй равно тръсти. (Иезек. ХL, 6) Библ. Генн. 1499 г.",религия. убранство храма,,,,,
еландии,,χελάνδιον,м.,,,,,,"ладья, судно, корабль ",,"СлРЯ 5, 44",,"Флавий. Полон. Иерус. I, 66. Флавий. Полон. Иерус. I, 66. XV в. ~ XI в.",,XV в.,XI в.,"И живущимъ въ островѣ в Родѣ дане многу подасть на устроение еландии. Флавий. Полон. Иерус. I, 66. XV в. ~ XI в.",морское дело,,,,,
еласса,,ἐλασᾶς,ж.,,,,,,"эласас, название птицы",,"СДРЯ, III, 206",,"МПр XIV, 32 (СДРЯ III, 206)",,ΧΙV в.,,"Еродово жилище обладая птицями… тетига радуеться сл҃нцю. а кольхии росѣ. саламандръ во огни играеть. криломь красящися еласъса пѣтелинъ веселъ есть. МПр XIV, 32 (СДРЯ III, 206)",природа. животный мир,,,,,
елеина,,ἔλαιον,ж.,,елей,,,,масличное дерево,,"СлРЯ, 5, 44",,"Проскинитарий Арс. К., 43.",,,1686 г.,"Святая гора Елеонъ зовема за множество елеинъ сирѣчь маслинъ, обрѣтающихся на тѣй. Проскинитарий Арс. К., 43. 1686 г.",природа. растения и плоды,,,,,
елей,,ἔλαιον,м.,олей,елеина,,,,"1. масло для светильников; 2. оливковое масло; (благовонное) масло; 3. масло, использовавшееся также для лечебных целей",oleum,"ФГcэ, III, 58; Срз. I, 822; СлРЯ, 5, 44",,"(Мф. XXV, 3) Остр. ев., 148.","Львов.лет.II, 468. XVI в.",,1057 г.,"1) Буяя бо приимъшя свѣтильникы своя, не възяшя съ собою елеа (ἔλαιον). (Мф. XXV, 3) Остр. ев., 148.  2) елеемъ главы моея не
помаза, си же муръмь помаза нозѣ мои (ἐλαίῳ). (Лк. VII, 46) Остр. ев., 223 об. 3) Самарѣнинъ … обяза струпы его, възливая елеи и вино (ἔλαιον). (Лк. X, 34) Остр. ев., 103. 
",религия. богослужение,,,олеи,,
елейный,елей,,прил.,,,,,,относящийся к елей (в знач. 2),,"СлРЯ, 5, 44",,,"Заб.Мат. II, 101. 1691 г.",,,"Въ той де росписи написаны многие статьи, которые къ мироварному дѣлу и составлению не годятся, для того, что въ нихъ благовонныхъ запасовъ и елейныхъ мастей нѣтъ. Заб. Мат. I, 101. 1691 г.",религия. богослужение,,,,,
електерь,,ἤλεκτρος,м.,илектръ,,,,,электр (сплав золота и серебра),,"Срз. I, 822 ",,"Сказ.св. Соф., 24 ",,XVI  в.,,"Сътвори ж<е> двери троа  прежняа от сребра и от злата чс҃та, и ины двери, овы убо мѣдяные електерь [в рукописи и издании ошибочное написание: елкетерь], овы  ж<е>  слоновы [в рукописи и издании ошибочное написание: сионовы] позлащены (ἠλέκτρους). Сказ. о созд.св.Софии, 24.  XVI в.",архитектура,"цитата дана по изд. Буслаева; ср.: Овы двери мѣдяны (ἠλέκτρους). Сказ.св. Соф., 13 (Срз. I, 822).",,,,
електоръ,,ἠλέκτωρ,м.,,,,,,"Светило, солнце",,"СДРЯ, III, 206",,"ПрЮр XIV, 41г (СДРЯ III, 206)",, ΧΙV в.,,"и покрывши ч(с)тнымь своимь омофоромь. свѣтящимся па(ч) електора. люди сущая в цр҃кви. ПрЮр XIV, 41г (СДРЯ III, 206)",природа,,,илектръ,,
елесаити,,Ἐλεσαϊτοί,мн.,,,,,,"последователи ереси, основанной Елесаем",,"СДРЯ, III, 206",,"КЕ XII, 281а(СДРЯ III, 206)",,ΧΙΙ в.,,"о елесаитѣхъ. Си о(т)мещють нѣкая. о(т) вьсякого б҃жьствьнааго писания. приемлють же явленая пакы. о(т) ветъхааго же и новааго. ап(с)лъ вьсь о(т)мѣтають. (περὶ Ἐλεσαϊτῶν). КЕ XII, 281а(СДРЯ III, 206)",религия. ереси и секты,,,,,
елеосвящение,елей,,с.,,,,,,освящение елея ,,"СлРЯ, 5, 45",,,"Чиновн. Иоакима II, 78. 1676 г.",,,"Къ маслоосвящению [патриарх] указалъ благовѣстить часъ дни. Облачение было постное, чинъ елеосвящения дѣйствовали по новоисправной писменой книжицѣ. Чиновн. Иоакима II, 78. 1676 г.",религия. богослужение,,,,,
елефантовъ,елефантъ,,прил.,,,,,,относящийся к слону,,не зафиксировано  ,,"Брун.Толк.Псалт., 220.",,XVII в.,1535 г.,"Дом слоновный есть кость слонова [глосса: елефантова] (ebur est os elephantis). Брун.Толк.Псалт., 220. XVII в. ~ 1535 г.",,,,,,
елефантъ,,"ἐλέφας, мн. ἐλέφαντες",м.,,,,,,слон,elephans,"ФГcэ, III, 58; Срз. I, 823 (елефантесъ); СлРЯ, 5, 45","Грц.макед., 110 (елефанда)","Откр. Меф. Пат., 104. XVI в.",,ΧVΙ в.,,"Услышав же о нихь Хозрое и убоася и остави их дондеже прѣидоше Тигрь рѣку, и посемь посла на них воа свое, въсѣдше же они на елефанты побише всѣхь. Откр. Меф. Пат., 104. XVI в.",природа. животный мир,,,,,
елински,еллинъ,,нареч.,,,,,,как язычники, по-гречески ,,"СлРЯ, 5, 46","Стболг. I, 475",,"Сл. и поуч. против языч., 250. XIV-XV вв.",,,"Слышите убо мнози суть слытьемъ кр҃стьяни. А обычаемъ и дѣлы акы погании невѣрнии. Навыкоша бо елиньскы дѣяти. Сл. и поуч. против языч., 250. XIV – XV вв.",религия. язычество и мифология,,,,
елинский,елинъ,ἑλληνικός,прил.,еллиньский,,,,,относящийся к елинъ,,"Срз. I, 824; СлРЯ, 5, 47","SJS I, 570; Стболг. I, 475","Лк. XXIII, 38) Остр.ев., 191 об.1057 г.",,1057 г.,,"Бѣ же и написание написано надъ Нимь кънигами елиньсками и римьсками и евреисками (γράμμασιν Ἑλληνικοῖς). (Лк. XXIII, 38) Остр.ев., 191 об.; Ему же приятъ обычаи елиньскъ. (Муч. Ирины) Усп. сб., 143. XII – XIII вв.",религия. язычество и мифология,,,,,
елинство,еллинъ,ἑλληνισμός,с.,еллиньство,,,,,язычество ,,"СлРЯ, 5, 47; СДРЯ III, 209",,"Ефр. Корм., 106. XII в.","(Росп. Лазаря) Суб.Мат. IV, 204. 1666 г.",ΧΙΙ в.,,"Ли отъ елиньства ли отъ июдеиства рекъше отъ кыя любо ереси. Ефр. Корм., 106. XII в.",религия. язычество и мифология,,,,,
елинствованье,елинство,τὸ ἑλληνίζειν,с.,,,,,,следование язычеству,,"СДРЯ III, 209",,"ГА XIII – XIV, 228 г (СДРЯ III, 209)",,,XI в.,"Рци ми: твое есть елиньствованье? ГА XIII – XIV, 228 г (СДРЯ III, 209)",религия. язычество и мифология,,,,,
елинствовати,елинство,ἑλληνίζειν,глаг.,еллиньствовати,,,,,"1. придерживаться обычаев язычников. 2. подчинять правилам греческого языка, эллинизировать.",,"СлРЯ 5, 47",,"Гр. Наз., 33. XI в.",,XI в.,,"Граматикию или языкъ еллиньствовати. Гр. Наз., 33. XI в.",религия. язычество и мифология,,,,,
елиныни,еллинъ,ἑλληνίς,ж.,,,,да,,язычница,,"СлРЯ, 5, 47","SJS I, 570 (‘гречанка’); Стболг. I, 475",с ΧΙΙ - XIII вв.,,ΧΙΙ - XIII вв.,,"Иерия боляричьна... бесѣдовати хотяше съ Феврониею, бяше бо елиныни. (Муч.Февронии) Усп.сб., 232. ΧΙΙ - XIII вв.",религия. язычество и мифология,,,,,
елинствованье,елинство,,с.,,,,да,,действие по глаг. елинствовати ,,"СДРЯ III, 209",,XIII – XIV вв.,,XIII – XIV вв.,XI в.,"сии Григории, б҃ословью тезъ, спроста я обличая, вѣщаваеть: рци ми: твое есть елиньствованье? что же? не Фюничьскыхъ суть грамота ГА XIII – XIV, 228г (СДРЯ III, 209)",религия. язычество и мифология,,,,,
елинство,,,с.,еллиньство,,,,,язычество ,,"СлРЯ, 5, 47; СДРЯ III, 209",,ΧΙΙ в.,"Суб.Мат. IV, 204. 1666 г.",,,"Ли отъ елиньства ли отъ июдеиства рекъше отъ кыя любо ереси (ἐξ ἑλληνισμοῦ). Ефр. Корм., 106. XII в.",религия. язычество и мифология,,,,,
елинъ,,ἕλλην,м.,еллинъ,,,,,1. грек, 2. язычник ,,"Срз. I, 824; СлРЯ, 5, 46","SJS I, 569-570; Стболг. I, 475","(Ин. XII, 20) Остр.ев., 41 об.1057 г.","Пов.Мам. побоище, 3. XVI в.",1057 г.,,"1. (о прозелитах)Бяаху же елини нѣции отъ въшьдъшихъ (Ἕλληνες). (Ин. XII, 20) Остр.ев., 41 об.; 2. Ты вѣси яко аще елинъ сыи оц҃ъ мои и умьре кумиромъ и бѣсомъ угодьникъ бывъ. (Муч. св. Февронии) Усп. сб., 230. XII – XIII вв. ",религия. язычество и мифология,В СлРЯ должен быть изменен порядок значений: 1. грек, 2. язычник. ,,
ел(л)еворъ,,ἐλλέβορος,м.,,,,,,"чемерица, морозник",,"СлРЯ, 5, 47",,"ВМЧ, Дек. 1 – 5, 19. XVI в.","с  ΧVΙΙ в. (Алф.2, 26)",XVI в.,,"Вол… снѣд от зелиа, рекомаг<о> елевора, и пожер, пад умре. ВМЧ, Дек. 1 – 5, 19. XVI в.",природа. растения и плоды,,,,,
еллинъ,,ἕλλην,м.,елинъ,,,,,язычник, грек,paganus,"ФГcэ, III, 58; СлРЯ, 5, 46-47",,,"Пов.Мам. побоище, 3. XVI в.",,,"Воздвижес<я> нѣкоторый цр҃ь от восточныя страны именем Момай, еллин сы вѣрою, идоложрец и иконоборец злыи. Пов. Мам. побоище, 3. XVI в.; Алф.1, 73  об.  XVII в.",религия. язычество и мифология,,,,
елой,,ἀλόη,м.,алгуи,,,,,алоэ ,,"СлРЯ 5, 48",,"(Сказ. о крест. древе) Лож. и отреч.кн., 82. XVII в.",,XVII в.,,"Ищутъ нѣции… како смѣшение тричастное того бысть и совокупление имать триехъ древесъ естество: елоя, глаголю, и кедра и кипариса, и како обрѣтеся во дни господняго распятия. (Сказ. о крест. др.) Лож. и отреч. кн., 82. XVII в.",природа. растения и плоды,,,алой ,,
елуръ,,αἴλουρος,м.,,,,,,кошка или куница,mustela,"ФГcэ, III, 58; Срз. I, 825; СлРЯ, 5, 48; СДРЯ, III, 210",,"Хрон. Г. Амарт., 64. XIII – XIV вв.",,ΧΙΙΙ -  ΧΙV вв.,ΧΙ в.,"Еще же и каркодилъ и змия и ерулы и рыбы чтуще. Хрон. Г. Амарт., 64. XIII – XIV вв.",природа. животный мир,,,,,
елькесаити,,Ἐλκεσσαῖοι, мн.,,елькесѣи,,,,"последователи елькесейской ереси, не признающей божественности Христа ",,"СДРЯ, III, 210",,"КР 1284, 386в (СДРЯ III, 210)",,,1284 г.,"О елкесаитѣхъ. КР 1284, 386в (СДРЯ III, 210)",религия. ереси и секты,,,,,
елькесѣи,,Ἐλκεσσαῖοι,мн.,,елькесаити,,,,"последователи елькесейской ереси, не признающей божественности Христа ",,"СДРЯ III, 210",,"КР 1284, 365б (СДРЯ III, 210)",,,1284 г.,"Самьпсѣи. иже суть и елькесѣи. и доныня въ аравии живуще иже есть прѣвыше мертваго моря. сии о(т) илъксанътина лжаго пр҃рка прѣльщени. КР 1284, 365б (СДРЯ III, 210)",религия. ереси и секты,,"сторонники елькесейской ереси, не признающей божественности Христа.",оликесѣи,,
елькесѣйский,елькесѣи,,прил.,,,,,,относящийся к елькесеям ,,"СДРЯ III, 210",,"КР 1284, 362 г (СДРЯ III, 210)",,,1284 г.,"Евионѣи приближени суть прѣжереченымъ кориньфиовъ и назарѣовъ. съвькупише се по нѣчему с ними сампелская и елксѣиская ересь КР 1284, 362г (СДРЯ III, 210)",религия. ереси и секты,,,,,
ематитъ?,,αἱματίς,м.,,,,,,гематит?  ,,"СлРЯ, 5, 49-50",,,"Сим.Обих.книгоп., 14. XV в.",,,"Возми злато плескано и жолти мало, истри е купно с водою, и измывъ, искуси е; егда же присхнет, сливосуи ематитом. Сим. Обих. книгоп., 14. XV в.",быт,в СлРя толкование: гладилка ,,,,
емболизмъ,, < ἐμβολή,м.,,,лат. embolismus от греч. ἐμβολή,да,лат.,Вставка (об эмболисмическом годе с тринадцтым вставным месяцем).,,не зафиксировано,,"Длр.1, 111. XVIII в. ~ 1501 г.",,XVIII в.,1501 г.,"Убо третие лѣто имать у них .г҃ı.  лунствъ. Такое же по емболизмомъ творятъ равнание времѣни, и сице считаютъ по лѣтамъ солнечнымъ, яко мы (per embolismos). Длр.1, 111. XVIII в. ~ 1501 г.",календарь. месяцы,,,,,
емболъ,емволъ,ἔμβολος,м.,"амболъ, уболъ, емоволъ, емъволъ, омболъ",,,,,"крытая галерея, колоннада, портик ",,"СлРЯ, 5, 50",,"Хрон. И. Малалы, XIV, 13. XV в. ~ XIII в.",,XV в.,XIII в.,"Въ цр҃ьство же его [Феодосия] прия казнь Коньстянтинь градъ от бж҃ия гнѣва трусомъ мс҃ца еуаря в к҃ς нощию от наричаемыхъ Тогорасийскых емболъ до мѣдяного тетрапула. Хрон. И. Малалы, XIV, 13. XV в. ~ XIII в.",архитектура. сооружения и постройки,,,"амболъ, уболъ, емволъ",,
емволъ,емболъ,ἔμβολος,м.,"емоволъ, емъволъ",,,,,"крытая галерея, колоннада, портик ",porticus,"ФГcэ, III, 58; Срз. I, 827; СлРЯ, 5, 50",,"Хрон. И. Малалы, XVIII, 26. XV в. ~ XIII в.",,XV в.,XIII в.,"Емволы. Хрон. И. Малалы, XVIII, 26. XV в. ~ XIII в.",архитектура. сооружения и постройки,,,"емболъ, амболъ, уболъ ",,
